INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat
231974218,08/09/2021,01:06:00,BRONX,,40,0,,,false,,,,18-24,M,BLACK,1006343,234270,40.80967347200004,-73.92019278899994,POINT (-73.92019278899994 40.80967347200004)
177934247,04/07/2018,19:48:00,BROOKLYN,,79,0,,,true,25-44,M,WHITE HISPANIC,25-44,M,BLACK,1000082.937500000000000,189064.671875000000000,40.685609672000055,-73.94291302299996,POINT (-73.94291302299996 40.685609672000055)
255028563,12/02/2022,22:57:00,BRONX,OUTSIDE,47,0,STREET,GROCERY/BODEGA,false,(null),(null),(null),25-44,M,BLACK,1020691,257125,40.872349,-73.868233,POINT (-73.868233 40.872349)
25384540,11/19/2006,01:50:00,BROOKLYN,,66,0,,PVT HOUSE,true,UNKNOWN,U,UNKNOWN,18-24,M,BLACK,985107.312500000000000,173349.796875000000000,40.642489932000046,-73.99691224999998,POINT (-73.99691224999998 40.642489932000046)
72616285,05/09/2010,01:58:00,BRONX,,46,0,,MULTI DWELL - APT BUILD,true,25-44,M,BLACK,<18,F,BLACK,1009853.500000000000000,247502.562500000000000,40.84598358900007,-73.907460985999933,POINT (-73.90746098599993 40.84598358900007)
85875439,07/22/2012,21:35:00,BRONX,,42,2,,MULTI DWELL - PUBLIC HOUS,false,18-24,M,BLACK,18-24,M,BLACK,1011046.687500000000000,239814.234375000000000,40.824877819000051,-73.903179083999987,POINT (-73.90317908399999 40.82487781900005)
79780323,07/12/2011,22:26:00,BROOKLYN,,71,0,,,true,,,,25-44,M,BLACK,995125.687500000000000,178185.546875000000000,40.655756384000028,-73.960804800999938,POINT (-73.96080480099994 40.65575638400003)
85744504,07/14/2012,23:45:00,BROOKLYN,,69,2,,MULTI DWELL - PUBLIC HOUS,false,,,,25-44,M,WHITE HISPANIC,1013655.250000000000000,177160.609375000000000,40.652901014000065,-73.89402764099998,POINT (-73.89402764099998 40.652901014000065)
142324890,04/21/2015,15:36:00,BROOKLYN,,75,0,,MULTI DWELL - APT BUILD,false,25-44,M,BLACK,25-44,M,BLACK,1012960.062500000000000,182221.609375000000000,40.666794619000029,-73.896511481999937,POINT (-73.89651148199994 40.66679461900003)
152868707,05/07/2016,15:23:00,BROOKLYN,,69,0,,,false,18-24,M,BLACK,18-24,M,BLACK,1011467.000000000000000,172461.000000000000000,40.64000860200008,-73.901932844999976,POINT (-73.90193284499998 40.64000860200008)
25036119,10/30/2006,00:20:00,BRONX,,40,0,,,false,25-44,M,BLACK HISPANIC,<18,M,BLACK HISPANIC,1008973.000000000000000,233961.000000000000000,40.808818385000052,-73.910693331999937,POINT (-73.91069333199994 40.80881838500005)
